Table 2,,,,,,,,,,,,,
,,42 First Division Matches 1957-1958,,,12 First Division Matches 1961-1962,,,36 Miscellaneous Matches 1965-1966,,,11 World Cup Matches 1966,,
,r,Actual,Expected,A-E,Actual,Expected,A-E,Actual,Expected,A-E,Actual,Expected,A-E
,0,"10,580","10,542",38,"2,331","2,224",107,"3,407","3,341",66,"1,862","1,777",85
,1,"6,923","7,075",-152,"1,629","1,788",-159,"2,320","2,407",-87,"1,220","1,313",-93
,2,"3,611","3,542",69,"1,035","1,061",-26,"1,435","1,428",7,785,829,-44
,3,"1,592","1,572",20,565,556,9,767,786,-19,518,503,15
,4,608,653,-45,304,271,33,422,415,7,316,293,23
,5,280,260,20,154,126,28,215,215,0,153,165,-12
,6,107,101,6,60,57,3,130,109,21,78,93,-15
,7,33,38,-5,31,25,6,62,55,7,65,52,13
,8,9,14,-5,15,11,4,24,27,-3,27,29,-2
,9 and over,11,8,3,6,10,-4,20,22,-2,39,31,8
,Total,"23,754","23,805",,"6,130","6,129",,"8,802","8,805",,"5,063","5,085",
,Mean,1.00,,,1.303,,,1.348,,,1.558,,
,Variance,1.495,,,2.109,,,2.519,,,3.286,,
,P(Ï‡2),,,>0.10,,,<0.0001,,,>0.30,,,<0.01